,date,close,open,high,low,day
1601,2019-05-26,1284.15,1284.2,1285.15,1283.65,6
1602,2019-05-27,1284.95,1284.25,1286.85,1283.25,0
1603,2019-05-28,1294.3,1301.8,1304.0,1292.9,1
1604,2019-05-29,1297.9,1295.9,1302.0,1295.9,2
1605,2019-05-30,1304.1,1296.2,1305.2,1290.8,3
1606,2019-05-31,1322.6,1304.4,1323.0,1304.2,4
1607,2019-06-03,1339.3,1323.1,1344.1,1322.7,0
1608,2019-06-04,1340.1,1340.9,1345.2,1336.1,1
1609,2019-06-05,1344.9,1341.0,1360.1,1341.0,2
1610,2019-06-06,1354.0,1348.0,1355.3,1343.5,3
1611,2019-06-07,1357.4,1351.4,1363.8,1345.8,4
