,date,supply,open,close,high,low,market_cap,spread
1430,2017-03-28,16242425.0,1044.58,1047.15,1064.65,1027.73,17008241726,36.92000000000007
1431,2017-03-29,16242425.0,1046.08,1039.97,1055.13,1015.88,16893415156,39.250000000000114
1432,2017-03-30,16242425.0,1042.21,1026.43,1049.29,1020.04,16675587066,29.25
1433,2017-03-31,16247887.5,1026.64,1071.79,1074.92,1026.64,17414322808,48.27999999999997
1434,2017-04-01,16247887.5,1071.71,1080.5,1091.72,1061.09,17557597716,30.63000000000011
1435,2017-04-02,16247887.5,1080.61,1102.17,1107.59,1075.45,17911915755,32.13999999999987
1436,2017-04-03,16253712.5,1102.95,1143.81,1151.74,1102.95,18591158323,48.789999999999964
1437,2017-04-04,16253712.5,1145.52,1133.25,1156.44,1120.52,18421262063,35.92000000000007
1438,2017-04-05,16253712.5,1134.14,1124.78,1135.09,1113.63,18285857775,21.45999999999981
1439,2017-04-06,16259137.5,1125.81,1182.68,1188.37,1125.81,19229356147,62.559999999999945
1440,2017-04-07,16259137.5,1178.94,1176.9,1186.58,1163.39,19137747435,23.189999999999827
1441,2017-04-08,16259137.5,1172.65,1175.95,1184.98,1162.58,19124327856,22.40000000000009
1442,2017-04-09,16264862.5,1176.57,1187.87,1197.21,1171.86,19320511927,25.350000000000136
1443,2017-04-10,16264862.5,1187.3,1187.13,1190.34,1179.04,19310642460,11.299999999999955
1444,2017-04-11,16264862.5,1187.46,1205.01,1208.07,1187.46,19604036563,20.6099999999999
1445,2017-04-12,16270562.5,1204.81,1200.37,1207.14,1196.76,19530680104,10.38000000000011
1446,2017-04-13,16270562.5,1201.02,1169.28,1205.89,1156.44,19026699552,49.450000000000045
1447,2017-04-14,16270562.5,1170.33,1167.54,1190.8,1159.79,19000400018,31.00999999999999
1448,2017-04-15,16275762.5,1167.3,1172.52,1188.0,1164.96,19083656460,23.039999999999964
1449,2017-04-16,16275762.5,1172.61,1182.94,1187.22,1172.61,19255408766,14.610000000000127
1450,2017-04-17,16275762.5,1183.25,1193.91,1194.9,1172.65,19436033390,22.25
1451,2017-04-18,16281137.5,1193.77,1211.67,1217.57,1193.77,19727334977,23.799999999999955
1452,2017-04-19,16281137.5,1212.13,1210.29,1215.51,1205.08,19707045565,10.430000000000064
1453,2017-04-20,16281137.5,1211.08,1229.08,1240.79,1208.41,20015137622,32.37999999999988
1454,2017-04-21,16286737.5,1229.42,1222.05,1235.94,1215.56,19903192286,20.38000000000011
